Data ID,Link,Posting Date,City,Address,Pure Rent,Service Charge,Other Charge,Total cost,Size,Date From,Date To,DataFrame,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
9415707,www.wg-gesucht.de/wg-zimmer-in-Berlin-Moabit.9415707.html,02.07.2022,Berlin,Muster Str. 1,35,,,,28,2022-07-08,2022-07-24,20230424,,0,1.25,02.07.2022-35.0-1.25 Berlin,Kreuzberg,2022-07,52.4976443,13.411914
9415783,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9415783.html,27.06.2022,Berlin,Muster Str. 1,40,,,,15,2022-06-28,2022-07-02,20230424,,1,2.666666667,27.06.2022-40.0-2.6666666666666665 Berlin,Neukölln,2022-07,52.4811497,13.4353501
9403706,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.9403706.html,22.06.2022,Berlin,Muster Str. 1,50,,,,28,2022-07-24,2022-08-26,20230424,,1,1.785714286,22.06.2022-50.0-1.7857142857142858 Berlin,Moabit,2022-08,52.5301017,13.3425422
9231720,www.wg-gesucht.de/wg-zimmer-in-Berlin-Koepenick.9231720.html,22.06.2022,Berlin,Muster Str. 1,500,,,,20,2022-07-10,2022-08-21,20230424,,1,25,22.06.2022-500.0-25.0 Berlin,Neukölln,2022-08,52.4811497,13.4353501
5945339,www.wg-gesucht.de/wg-zimmer-in-Berlin-Wedding.5945339.html,16.06.2022,Berlin,Muster Str. 1,50,,,,14,2022-06-21,2022-06-26,20230424,,0,3.571428571,16.06.2022-50.0-3.5714285714285716 Berlin,Schöneberg,2022-06,52.482157,13.3551901
9117324,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9117324.html,07.06.2022,Berlin,Muster Str. 1,300,,,,14,2022-04-01,2022-07-31,20230424,,3,21.42857143,07.06.2022-300.0-21.428571428571427 Berlin,Köpenick,2022-07,52.4539099,13.5764126
9292809,www.wg-gesucht.de/wg-zimmer-in-Berlin-Schoeneberg.9292809.html,07.06.2022,Berlin,Muster Str. 1,380,,,,17,2018-10-16,2019-02-01,20230424,,4,22.35294118,07.06.2022-380.0-22.352941176470587 Berlin,Wedding,2019-02,52.550123,13.34197
9377086,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9377086.html,07.06.2022,Berlin,Muster Str. 1,60,,,,35,2022-06-07,2022-06-30,20230424,,0,1.714285714,07.06.2022-60.0-1.7142857142857142 Berlin,Friedrichshain,2022-06,52.5122154,13.4502904
9262494,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9262494.html,02.06.2022,Berlin,Muster Str. 1,550,,,,24,2022-04-23,2022-05-31,20230424,,1,22.91666667,02.06.2022-550.0-22.916666666666668 Berlin,Schöneberg,2022-05,52.482157,13.3551901
7657789,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.7657789.html,01.06.2022,Berlin,Muster Str. 1,70,,,,10,2022-07-02,2022-08-02,20230424,,1,7,01.06.2022-70.0-7.0 Berlin,Neukölln,2022-08,52.4811497,13.4353501
